acl 2.3.2-1
amd-ucode 20240909.552ed9b8-1
ansible-core 2.17.4-1
archlinux-keyring 20240709-2
argon2 20190702-6
attr 2.5.2-1
audit 4.0.2-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
base 3-2
base-devel 1-2
bash 5.2.037-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
boost-libs 1.86.0-3
bridge-utils 1.7.1-2
brotli 1.1.0-2
btrfs-progs 6.11-1
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.105-1
ca-certificates-utils 20240618-1
containerd 1.7.22-1
coreutils 9.5-2
cronie 1.7.2-1
cryptsetup 2.7.5-1
curl 8.10.1-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
debugedit 5.0-6
default-cursors 3-1
device-mapper 2.03.26-1
diffutils 3.10-1
docker 1:27.3.1-1
docker-compose 2.29.7-1
double-conversion 3.3.0-2
duktape 2.7.0-7
e2fsprogs 1.47.1-4
efibootmgr 18-3
efivar 39-1
ell 0.69-1
expat 2.6.3-2
fakeroot 1.36-1
fastfetch 2.26.1-2
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-2
flex 2.6.4-5
fontconfig 2:2.15.0-2
freetype2 2.13.3-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gdbm 1.24-1
gettext 0.22.5-2
git 2.46.2-1
glib2 2.82.1-1
glibc 2.40+r16+gaa533d58ff-2
gmp 6.3.0-2
gnupg 2.4.5-5
gnutls 3.8.7-1
go 2:1.23.1-1
gpgme 1.23.2-6
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
guile 3.0.10-1
gzip 1.13-4
harfbuzz 10.0.1-1
hicolor-icon-theme 0.18-1
hwdata 0.387-1
iana-etc 20240814-1
icu 75.1-1
iproute2 6.11.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iwd 2.22-1
jansson 2.14-4
json-c 0.18-1
kbd 2.6.4-3
keyutils 1.6.3-3
kmod 33-3
krb5 1.21.3-1
kubectl 1.31.1-1
less 1:661-1
libarchive 3.7.6-1
libassuan 3.0.0-1
libb2 0.98.1-3
libbpf 1.4.3-1
libcap 2.70-1
libcap-ng 0.8.5-2
libcups 2:2.4.10-1
libdaemon 0.14-6
libdrm 2.4.123-1
libedit 20240517_3.1-1
libelf 0.191-4
libevdev 1.13.3-1
libevent 2.1.12-4
libffi 3.4.6-1
libgcrypt 1.11.0-2
libglvnd 1.7.0-1
libgpg-error 1.50-1
libgudev 238-1
libice 1.1.1-3
libidn2 2.3.7-1
libinput 1.26.2-1
libisl 0.27-1
libjpeg-turbo 3.0.4-1
libksba 1.6.7-1
libldap 2.6.8-2
libluv 1.48.0_2-1
libmnl 1.0.5-2
libmpc 1.3.1-2
libnetfilter_conntrack 1.0.9-2
libnfnetlink 1.0.2-2
libnftnl 1.2.7-1
libnghttp2 1.63.0-1
libnghttp3 1.5.0-1
libngtcp2 1.7.0-2
libnl 3.10.0-1
libnsl 2.0.1-1
libomxil-bellagio 0.9.3-5
libp11-kit 0.25.5-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpng 1.6.44-1
libproxy 0.5.8-1
libpsl 0.21.5-2
libsasl 2.1.28-5
libseccomp 2.5.5-3
libsecret 0.21.4-1
libsm 1.2.4-2
libsodium 1.0.20-1
libssh2 1.11.0-1
libsysprof-capture 47.0-1
libtasn1 4.19.0-2
